timestamp,original_file,viewer,fuzz_type,payload_offset_attempted,trigger_offset_attempted,status,reason,retry_attempt,payload_validated,platform,fitting_payload_addr,fitting_offsets,success_label,confidence_score
1783708759.144059,sample_0.png,firefox,optimization_bypass,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708793.314014,sample_0.png,firefox,optimization_bypass,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.6414242,sample_0.png,firefox,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.5744903,sample_0.png,firefox,double_free,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.9440315,sample_0.png,firefox,double_free,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708759.1960557,sample_0.png,firefox,double_free,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708793.3610861,sample_0.png,firefox,double_free,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722130.4113832,,png_consumer,overflow_sanity,0,0,SANITY_CHECK_PASSED,Base png_consumer overflow reverse-shell sanity check,0,True,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,1,1.0
1783722130.4553196,sample_9.png,png_consumer,optimization_bypass,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722148.593454,sample_9.png,png_consumer,uaf,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722166.699325,sample_9.png,png_consumer,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722184.7461338,sample_9.png,png_consumer,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722202.8186638,sample_9.png,png_consumer,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722220.8927824,sample_9.png,png_consumer,aggressive_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722238.971116,sample_9.png,png_consumer,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.1917603,sample_9.png,PIL,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.4200413,sample_9.png,PIL,aggressive_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.3711011,sample_9.png,PIL,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.8546395,sample_9.png,PIL,optimization_bypass,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.9151695,sample_9.png,PIL,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.8919137,sample_9.png,PIL,uaf,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.8673863,sample_9.png,PIL,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.0788162,sample_9.png,eog,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.1036422,sample_9.png,firefox,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.3092158,sample_9.png,eog,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.3513417,sample_9.png,eog,aggressive_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.7660995,sample_9.png,firefox,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.812291,sample_9.png,firefox,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783722257.9409122,sample_9.png,eog,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
